comparison,row_uid,recording_key,study_set,dataset_type,domain_label,pc1,pc2
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11::MountainSort4::41,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-3.9224021671154223,-2.859655770511562
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32::JRClust::95,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-2.7461764860470166,-0.9029473547324072
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_11::IronClust::24,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-3.236264963902845,-2.4708940369405146
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11::Tridesclous::84,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-3.000594151892244,-0.5163120073438011
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21::Tridesclous::16,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.5844985763730235,-0.8727426313709217
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12::Tridesclous::56,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.2783065986760107,-2.8266726770097526
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_31::KiloSort::101,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-2.928200640127035,-1.9766637868165213
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_1200s_21::HerdingSpikes2::13,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.0649119281377044,-1.201372572012265
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21::MountainSort4::45,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-4.005496509373136,-1.6070158280928881
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11::SpykingCircus::75,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.9994308305032296,-2.117532789500148
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22::IronClust::19,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22,HYBRID_JANELIA,hybrid,domain_a,-3.3479491054044366,-1.5893133663153691
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_21::JRClust::73,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_21,HYBRID_JANELIA,hybrid,domain_a,-2.3983637615469187,-0.487751136035886
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12::JRClust::27,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.542731117059483,-1.6032563055971183
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_21::HerdingSpikes2::7,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-3.0805802406977145,-1.6333288963767016
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11::MountainSort4::41,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.671084500872144,-2.497142444641185
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_600s_21::MountainSort4::8,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_600s_21,HYBRID_JANELIA,hybrid,domain_a,-2.4054450084942025,-2.2710572844526897
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11::MountainSort4::229,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.6114900725517343,-1.6091515744631282
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12::IronClust::17,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.026242952301394,-2.543173167607697
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_12::MountainSort4::26,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.8417746690416457,-3.4306536248478916
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11::JRClust::51,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.9250256736445577,-2.3666364214959126
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32::Tridesclous::22,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-2.736497182752878,-1.8135684314107332
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_11::MountainSort4::54,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-3.995688656385554,-2.6359863248460282
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11::HerdingSpikes2::125,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.4906375706150836,0.4162408634479322
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_tetrode::rec_4c_600s_22::Tridesclous::7,HYBRID_JANELIA::hybrid_drift_tetrode::rec_4c_600s_22,HYBRID_JANELIA,hybrid,domain_a,-2.302322268077407,-1.0793288270281807
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_31::MountainSort4::145,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_31,HYBRID_JANELIA,hybrid,domain_a,-2.2566118569414795,-1.2493616502942269
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_11::JRClust::85,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-3.169044651960707,-1.9278504569516355
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11::MountainSort4::12,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-3.4907290775577042,-2.793968403016697
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31::SpykingCircus::11,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-2.7637095585072413,-1.7903398126237113
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31::KiloSort::92,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-2.848866264795012,-1.836564276963449
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21::HerdingSpikes2::0,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.580702350081591,-1.3997044122730797
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32::KiloSort2::0,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-3.0979822302371067,-1.8977831003768841
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_11::Tridesclous::4,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.722226148085188,-2.3104434308459694
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_600s_21::IronClust::6,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_600s_21,HYBRID_JANELIA,hybrid,domain_a,-2.431023999847209,-1.9302729822252158
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11::KiloSort::107,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.988812810367626,-2.1180901772511334
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11::JRClust::37,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.477752535395604,-2.1001727945908915
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_12::KiloSort2::27,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.8826755857923905,-1.9095337492150661
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11::IronClust::12,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-3.7067918976606347,-2.93840621389642
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12::KiloSort2::52,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.555866277936939,-1.1688661628286505
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11::Tridesclous::14,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.6048869323556145,-2.4646095505259336
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11::SpykingCircus::54,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-3.469265150963022,-2.3874837404517835
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12::MountainSort4::2,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.8457136494316337,-1.749971346446104
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11::MountainSort4::68,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.3492934477541647,-1.3585356430230326
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22::MountainSort4::66,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22,HYBRID_JANELIA,hybrid,domain_a,-2.0696541902092855,-2.252756873569953
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_21::MountainSort4::95,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_21,HYBRID_JANELIA,hybrid,domain_a,-2.36719992286831,-1.2217314726359625
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_1200s_21::KiloSort2::35,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.3222510769341826,-1.679148366575759
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_1200s_31::MountainSort4::16,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_1200s_31,HYBRID_JANELIA,hybrid,domain_a,-3.519780024755891,-2.5196317282067966
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22::MountainSort4::48,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22,HYBRID_JANELIA,hybrid,domain_a,-2.7151107093083744,-1.3400250684944683
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_11::SpykingCircus::21,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.408645767642327,-2.2719216429075333
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12::IronClust::89,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.2534514807006336,-1.9828469758787066
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_31::HerdingSpikes2::21,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_31,HYBRID_JANELIA,hybrid,domain_a,-2.774692933509008,-1.6405457040441098
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11::KiloSort::177,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.8254269550941933,-2.075264963324747
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12::MountainSort4::142,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.939743788669938,-1.3132502376548023
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_31::Tridesclous::4,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_31,HYBRID_JANELIA,hybrid,domain_a,-2.5287633188618814,-2.2305431599802645
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_1200s_31::Tridesclous::16,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_1200s_31,HYBRID_JANELIA,hybrid,domain_a,-2.5544621430337258,-1.926081854121997
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_32::MountainSort4::74,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-2.2492031714813416,-1.5512488252394148
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11::JRClust::61,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.2010163911965104,-1.4103013518767158
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11::JRClust::118,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.6564289406267214,-2.145334860958739
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21::JRClust::40,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.942366305015346,-2.2683644267871528
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22::MountainSort4::26,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_22,HYBRID_JANELIA,hybrid,domain_a,-2.680352685367844,-1.662588753527874
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_32::SpykingCircus::13,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-3.0399510352934818,-1.5193568612920176
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_21::KiloSort::7,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.6516238587663765,-1.4436072052994147
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_12::Tridesclous::19,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.6235017277089154,-1.2114207495450244
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_31::MountainSort4::18,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-1.512285065802497,-0.4193198780841204
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_31::KiloSort::0,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-1.9773266131324485,-0.47681268328550364
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32::KiloSort::95,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-2.8411221291340913,-1.2964942577141014
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_32::MountainSort4::55,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-4.1266761904702935,-2.9497114461544314
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12::Tridesclous::28,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.006302724705884,-1.5704570302002898
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_21::MountainSort4::9,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.684448740204748,-2.2430170758731247
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_32::SpykingCircus::20,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-3.1449719450723763,-1.7439183422234874
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12::KiloSort::38,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.9792790178930892,-2.4163557529225996
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11::MountainSort4::4,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-3.8948354868851767,-3.016579314194274
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32::SpykingCircus::43,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-2.984690317923167,-1.7912206750191229
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_1200s_11::MountainSort4::21,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.188954041186069,-1.57195004572713
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_12::JRClust::12,HYBRID_JANELIA::hybrid_static_siprobe::rec_16c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.313497985772944,-2.61416051243588
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11::IronClust::70,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-3.3941654138677917,-2.957250925954281
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_32::KiloSort2::9,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-3.3626817596995404,-2.4167388666970093
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_31::MountainSort4::208,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_31,HYBRID_JANELIA,hybrid,domain_a,-2.0692936695298876,-0.26084050522091773
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11::MountainSort4::91,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-3.6851713968630504,-2.9579859626194036
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_tetrode::rec_4c_600s_11::KiloSort::28,HYBRID_JANELIA::hybrid_drift_tetrode::rec_4c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.5882112826959434,-1.5234148813426955
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11::JRClust::61,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_11,HYBRID_JANELIA,hybrid,domain_a,-2.539817205085051,-1.9546733299410612
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12::HerdingSpikes2::181,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-1.3993357218533446,1.0648552577727253
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_12::MountainSort4::70,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.607874735565711,-1.6679288801795193
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12::KiloSort::486,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.4283168107148856,-2.0611161778720213
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_21::SpykingCircus::7,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.8707845706790645,-1.421852659956429
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12::IronClust::49,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.9798096729584658,-2.0676010127915005
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12::MountainSort4::76,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.248381737576076,-2.319371333128248
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_31::IronClust::22,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-3.1979230607527844,-1.4731259858004673
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_21::JRClust::9,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.381426422987285,-1.0873764917675846
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12::KiloSort2::73,HYBRID_JANELIA::hybrid_drift_siprobe::rec_64c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-2.257573948142597,0.220476425591251
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_12::KiloSort2::36,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.1865670554304573,-0.8848277682970904
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_21::HerdingSpikes2::52,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_21,HYBRID_JANELIA,hybrid,domain_a,-2.4338712633242876,-0.5074584191649132
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31::MountainSort4::172,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-4.08748403758541,-3.080382377055234
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11::MountainSort4::42,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-2.868465380511957,-1.0540026076327271
